"Actions","操作"
"An error occurred while marking notification as read.","标记通知已读时发生错误"
"An error occurred while marking the messages as read.","标记讯息已读时发生错误"
"An error occurred while removing messages.","删除讯息时发生错误"
"An error occurred while removing the message.","删除讯息时发生错误"
"Are you sure?","您确定吗？"
"Date Added","建立日期"
"Last Update","最近更细"
"Mark as Read","标记为已读"
"Mark as read","标记为已读"
"Message","讯息"
"Messages Inbox","收件匣"
"Notifications","通知"
"Please select messages.","请选择讯息"
"Read Details","阅读详情"
"Remove","删除"
"Severity","重要性"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"The message has been marked as read.","讯息已经被标记已读"
"The message has been removed.","讯息已经被删除"
"Total of %d record(s) have been marked as read.","共有 %d 笔被标记已读"
"Total of %d record(s) have been removed.","共有 %d 笔被删除"
"Unable to proceed. Please, try again.","无法进行,请再次尝试"
"Update Frequency","更新频率"
"Use HTTPS to Get Feed","使用HTTPS取得Feed"
"Wrong message type","错误的讯息类型"
"critical","关键"
"major","重要"
"minor","次要"
"notice","公告"
