" The customer does not exist in the system anymore.","这个客户在系统中不再存在"
" [deleted]"," [已经删除]"
" and ","以及"
"%s (Default Template from Locale)","%s (预设的样板)"
"%s cache type(s) disabled.","%s 停用快取"
"%s cache type(s) enabled.","%s 启动快取"
"%s cache type(s) refreshed.","%s 更新快取"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(在 ""本地服务器"" 类型需要使用相对路径 var/export 或 var/import ，例如 var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(2个字母的州名(适用于美国))"
"(If left empty will be auto-generated)","(如果空白将自动产生)"
"(Leave empty for first spreadsheet)","(空白表示第一个电子表格)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果汇入档案中'商店'字段空白或者缺少，产品将被新增/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)点选或者拖曳以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅汇入对应字符串。当对应时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（编辑该值之前您必须先新增php 的memory_limit 设定值）"
"(\\t for tab)","(\\t 为跳位符号)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - 如果有其他索引程序进行中，它会先被中止，然后开始新的索引程序"
"* Required Fields","* 必填字段"
"- Click on any of the time parts to increase it","- 点选时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点选使其递减"
"- or click and drag for faster selection.","- 或者点选并拖曳以快速选择"
"-- Not Selected --","-- 没有被选择过 --"
"-- Please Select --","-- 请选择 --"
"-- Please Select Billing Agreement--","-- 请选择付款协议--"
"-- Please Select a Category --","-- 请选择一个分类 --"
"-- Please select --","-- 请选择 --"
"--Please Select--","--请选择--"
"1 Hour","1 小时"
"12 Hours","12 小时"
"12h AM/PM","12小时 AM/PM"
"2 Hours","2 小时"
"24 Hours","24 小时"
"24h","24小时"
"2YTD","去年开始"
"6 Hours","6 小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>没找到页面。 </p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> 请求能够存取您的账号"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>：文字有区分大小写"
"A user with the same user name or email aleady exists.","一个会员的账号或者e-mail已经存在"
"API Key","API 密钥"
"API Key Confirmation","API 密钥确认"
"ASCII","ASCII"
"Abandoned Carts","已经放弃的购物车"
"About the calendar","关于日历"
"Access Denied","访问被拒绝"
"Access denied","拒绝访问"
"Access denied.","拒绝访问"
"Account Created in:","账号建立于："
"Account Created on (%s):","账号建立于 (%s):"
"Account Created on:","账号建立日期："
"Account Information","帐户信息"
"Account Status","账号状态"
"Account status","账号状态"
"Action","操作"
"Actions","操作"
"Actions XML","操作 XML"
"Active","开启"
"Add","新增"
"Add Exception","新增例外"
"Add Field Mapping","新增字段对应"
"Add Field with URL:","新增网址栏："
"Add New","新增"
"Add New Image","新增图片"
"Add New Profile","新增配置档案"
"Add New Role","新增角色"
"Add New Template","新增样板"
"Add New URL Rewrite","新增的替代网址"
"Add New User","新增使用者"
"Add New Variable","新增变数"
"Add Products","新增产品"
"Add URL Rewrite","增加替代网址"
"Add URL Rewrite for a Category","增加分类替代网址"
"Add URL Rewrite for a Product","增加产品替代网址"
"Add after","在此后新增"
"Additional Cache Management","增加额外的快取管理"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Admin Section","进阶管理员区"
"Advanced Profiles","进阶配置档案"
"Advanced Section","进阶区"
"After authorization application will have access to you account.","在授权后应用程序就可以存取您的账号"
"All","所有"
"All Allowed Countries","所有允许国家"
"All Cache","所有快取"
"All Files","所有档案"
"All Reviews","所有评论"
"All Store Views","所有商店接口"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有字段"
"All possible rates were fetched, please click on ""Save"" to apply","所有可能的汇率都下载了，请点选 ""保存"" 来套用"
"All rates were fetched, please click on ""Save"" to apply","所有汇率都下载了，请点选 ""保存"" 来套用"
"All valid rates have been saved.","成功保存所有有效的汇率"
"Always (during development)","总是（在开发中）"
"Amounts","金额"
"An error has occured while syncronizing media storages.","同步多媒体档案时发生错误"
"An error occurred while clearing the JavaScript/CSS cache.","清除javascript/css快取时发生错误"
"An error occurred while clearing the image cache.","清除图片快取时发生错误"
"An error occurred while deleting URL Rewrite.","删除替代网址时发生错误"
"An error occurred while deleting email template data. Please review log and try again.","删除信件样板数据时发生错误,请查看记录档案并再次尝试"
"An error occurred while deleting record(s).","删除数据时发生错误"
"An error occurred while deleting this role.","删除角色时发生错误"
"An error occurred while deleting this set.","删除这个集合时发生错误"
"An error occurred while deleting this template.","删除这个样板时发生错误"
"An error occurred while finishing process. Please refresh the cache","结束程序时发生错误,请更新快取"
"An error occurred while rebuilding the CatalogInventory Stock Status.","重建目录库存状态时发生错误"
"An error occurred while rebuilding the catalog index.","重建目录索引时发生错误"
"An error occurred while rebuilding the flat catalog category.","重建flat catalog category时发生错误"
"An error occurred while rebuilding the flat product catalog.","重建flat product catalog时发生错误"
"An error occurred while rebuilding the search index.","重建搜寻索引时发生错误"
"An error occurred while refreshing the Catalog Rewrites.","重建目录改写时发生错误"
"An error occurred while refreshing the Layered Navigation indices.","重建阶层导览索引时发生错误"
"An error occurred while refreshing the catalog rewrites.","重建目录改写时发生错误"
"An error occurred while refreshing the layered navigation indices.","重建阶层导览时发生错误"
"An error occurred while saving URL Rewrite.","保存替代网址时发生错误"
"An error occurred while saving account.","保存账号时发生错误"
"An error occurred while saving review.","保存评论时发生错误"
"An error occurred while saving the customer.","保存客户时发生错误"
"An error occurred while saving this configuration:","保存这个设定时发生错误:"
"An error occurred while saving this role.","保存这个角色时发生错误"
"An error occurred while saving this template.","保存这个样板时发生错误"
"An error occurred while updating the selected review(s).","更新选择的评论时发生错误"
"Any","任意"
"Any Attribute Set","任意属性集"
"Any Group","任意群组"
"Any Status","任意状态"
"Any Store","任意商店"
"Any Type","任意类型"
"Any Visibility","任意可见性"
"Any data created since the backup was made will be lost including admin users, customers and orders.","任何在备份产生后建立的数据都会遗失，包括管理者、客户与订单。"
"Archive file name:","归档文件名："
"Are you sure that you want to delete this template?","您确认要删除这个样板吗？"
"Are you sure that you want to strip tags?","您确认要删除标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure you want to proceed?","您确定要继续？"
"Area","区域"
"As low as:","最低:"
"Assigned","指定"
"Associated Tags","相关标签"
"Attribute Set Name:","属性集名称："
"Attributes","属性"
"Authorization confirmed","授权已确认"
"Authorize","授权"
"Authorize application","授权应用"
"Authorized OAuth Tokens","授权的 OAuth 令牌"
"Automatic (equalize price ranges)","自动（均衡价格范围）"
"Automatic (equalize product counts)","自动（均衡产品数量）"
"Average Order Amount","平均订单金额"
"Average Orders","平均订单金额"
"BINARY","二进制"
"Back","返回"
"Back to Login","返回登入"
"Backup","备份"
"Backup Name","备份名称"
"Backup options","备份选项"
"Backups","备份"
"Base currency","基础货币"
"Bcc","密件抄送"
"Bestsellers","畅销产品"
"Billing Address","账单地址"
"Billing Address: ","账单地址"
"Billing Agreement","付款协议"
"Billing Agreements","付款协议"
"Block Information","区块信息"
"Both (without and with tax)","同时 (无论是否含税)"
"Both IPN and PDT","IPN 和 PDT"
"Browse Files...","浏览档案.."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项不会被保存"
"CMS","CMS"
