"Access denied.","访问被拒绝"
"Can not find webservice adapter.","找不到 webservice 切换器"
"Client Session Timeout (sec.)","客户联机超过时限 （秒）"
"Default Response Charset","默认反应符号集"
"Email","电子信箱"
"Enable WSDL Cache","开启的WSDL快取"
"General Settings","基本设定"
"Invalid webservice adapter specified.","指定的网络服务适配器有误"
"Invalid webservice handler specified.","指定的网络服务处理器有误"
"Magento Core API","Magento 核心 API"
"Magento Core API Section","Magento 核心 API 区"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - 角色"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - 使用者"
"Unable to login.","无法登入"
"User Name","账号"
"WS-I Compliance","WS-I 兼容"
"Web Services","网络服务"
"Your account has been deactivated.","您的账号已被停用"
