"# of Use","使用次数"
"%1$s incl tax.","%1$s 含税"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 以上"
"(%d)","(%d)"
"(Copy data from: %s)","(复制数据自: %s)"
"* Required Fields","* 必填字段"
"-- Please Select --","-- 请选择 --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果没有设定，预设为86400。为了立即更新，请清空HTML区块快取输出"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">警告！</strong> 预设套用地图会在前台隐藏所有产品价格"
"A group with the same name already exists.","相同名字的群组已经存在"
"A name is required","名字必填"
"A product type is not defined for the indexer.","产品类型没有在索引定义"
"ALL GROUPS","所有群组"
"AM","AM"
"Action","操作"
"Actual Price","实际价格"
"Add","新增"
"Add Attribute","新增属性"
"Add Design Change","新增接口设计"
"Add Group","新增群组"
"Add Group Price","新增群组价格"
"Add New","新增"
"Add New Attribute","新增属性"
"Add New Attribute Set","新增属性集合"
"Add New Group","新增群组"
"Add New Images","新增图片"
"Add New Option","新增选项"
"Add New Row","新增行"
"Add New Search Term","新增搜寻关键词"
"Add New Set","新增集合"
"Add Product","新增产品"
"Add Product To Websites","新增产品到网站"
"Add Root Category","新增根目录"
"Add Subcategory","新增子目录"
"Add Tax","新增税"
"Add Tier","新增层次"
"Add attribute into attribute set","新增属性到属性集合"
"Add group into attribute set","新增群组到属性集合"
"Add new custom option into product","新增自定义选项到产品"
"Add new values into custom option","新增数值到自定义选项"
"Add option","新增选项"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入待购清单"
"Additional Information","其他信息"
"Alert Urls","警告网址"
"All","所有"
"All Product Types","所有产品类型"
"All Websites","所有网站"
"All products","所有产品"
"All products - recently added products, New products - products marked as new","所有产品 - 最近新增的产品，新产品 – 标示为新的产品"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性集合的产品将会被删除！您确定要删除此属性集合吗？"
"Allow All Products per Page","分类允许显示所有产品"
"Allow Dynamic Media URLs in Products and Categories","允许在产品与分类中使用动态媒体网址"
"Allow HTML Tags on Frontend","允许前台使用HTML标记"
"Allowed File Extensions","允许档案后缀"
"Allowed file extensions to upload","允许上传档案后缀"
"An error occurred while adding products to websites.","增加产品到网站时出错"
"An error occurred while clearing comparison list.","清空比较时出错"
"An error occurred while deleting this review.","删除这个评论时发生错误"
"An error occurred while removing products from websites.","从网站删除产品时出错"
"An error occurred while saving the URL rewrite","保存替代网址时发生错误"
"An error occurred while saving the attribute set.","保存属性集合时出错"
"An error occurred while saving the collection, aborting. Error message: %s","加载组合出错，注销。 错误讯息： %s"
"An error occurred while saving the product. ","保存产品时出错"
"An error occurred while saving the search query.","保存查询时出错"
"An error occurred while saving this group.","保存群组时出错"
"An error occurred while saving this review.","保存这个评论时发生错误"
"An error occurred while trying to delete the category.","删除分类时出错"
"An error occurred while updating the product(s) attributes.","更新产品属性时出错"
"An error occurred while updating the product(s) status.","更新产品状态时出错"
"An invalid group ID is specified, skipping the record.","指定错误的组ID，或略该记录"
"An invalid option ID is specified for %s (%s), skipping the record.","为 %s (%s)指定错误选项ID，忽略该记录"
"An invalid store was specified.","指定不允许的商店"
"Anchor Custom Text","锚点自定义文字"
"Anchor Custom Title","锚点自定义标题"
