"%s and greater","%s及更大"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d 条</strong> 被发现使用下面的搜寻标准"
"Advanced Search","进阶搜寻"
"Advanced Search Form","进阶搜寻窗体"
"Advanced Search Result","进阶搜寻结果"
"All","所有"
"Applies for ""Like"" search type only.","仅应用于「相似」搜寻类型"
"Apply Layered Navigation if Search Results are Less Than","应用分阶层导览，如果搜寻结果少于"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","属性设定编辑与搜寻索引相关。请运行<a href=""%s"">重建搜寻索引</a> 程序"
"Autogenerated Site Map","自动产生网站地图"
"Catalog Advanced Search","分类进阶搜寻"
"Catalog Search","目录搜寻"
"Catalog Search Index","目录搜寻索引"
"Don't see what you're looking for?","没有找到您想要的？"
"Enter ""0"" to enable layered navigation for any number of results.","输入 ""0"" ，使任何数都开启分阶层导览"
"Go","前往"
"Go to Home Page","回到首页"
"Grid","表格"
"Home","首页"
"List","清单"
"Maximum Query Length","最大查询长度"
"Maximum Query Words Count","最大查询词数"
"Maximum Search query length is %s. Your query was cut.","查询文字长度上限为 %s ，超过的部份会被截断"
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","查询词汇数量上限为 %1$s ，您的查询被截断为 %2$s"
"Minimal Query Length","最小查询长度"
"Minimum Search query length is %s","搜寻查询的最小长度是 %s"
"Modify your search","编辑搜寻"
"No","否"
"No items were found using the following search criteria.","没有找到与下列搜寻条件相符合的产品"
"Please specify at least one search term.","请指定至少一个搜寻项"
"Popular Search Terms","热门搜寻关键词"
"Quick Search Form","快速搜寻窗体"
"Rebuild Catalog product fulltext search index","重建目录产品全文搜寻索引"
"Relevance","关联"
"Results","结果"
"Search","搜寻"
"Search Settings","搜寻设定"
"Search Terms","搜寻关键词"
"Search Type","搜寻类型"
"Search entire store here...","全站搜寻 .."
"Search results for '%s'"," '%s' 的搜寻结果"
"Search results for: '%s'"," '%s' 的搜寻结果"
"Search:","搜寻:"
"Specified date is invalid.","选择的日期有误"
"Subscribe to Feed","订阅RSS"
"There are no search terms available.","没有可用的搜寻关键词"
"Yes","是"
"Your search returns no results.","没有搜寻到任何结果"
"up to %s","最多%s"
