"%s","%s"
"%s already exist.","%s 已存在"
"%s already exists.","%s 已存在"
"-- Please Select --","-- 请选择 --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">警告！</strong> 当使用的 CDN 不是放在您的子域名，某些情况下 JavaScript 可能无法正常运作"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style="" color:red""="">警告！</strong>当使用URL中存储代码，在某些情况 下系统可能无法正常工作，如果没有商店代码的URL指定的第三方服务（例如贝宝等）。"
"A category object is required for determining the product request path.","类对像需要对产品的要求确定的路径"
"Add Block Names to Hints","在提示中新增区块名称"
"Add Secret Key to URLs","增加密钥到网址"
"Add Store Code to Urls","网址中加入商店码"
"Admin","管理员选项"
"Admin Base URL","管理基础 URL"
"Admin User Emails","管理使用者信箱"
"Advanced","进阶"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","在选择新的媒体保存位置后，按下同步按钮来移动所有媒体档案到新路径。在同步程序完成前新位置是无法使用的。"
"Allow Countries","要使用的国家"
"Allow Symlinks","允许符号链接"
"Allowed IPs (comma separated)","允许的IP地址（多个记录用逗号分开）"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","允许的文件类型：ICO图标，PNG，GIF JPG，JPEG，APNG，SVG的。并非所有浏览器都支持所有这些格式！"
"Allows customers to stay logged in when switching between different stores.","使客户能够留在登入时不同的商店之间切换"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","导览选单的下一页链接替换文字，如果空白会使用默认箭头图片"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","导览选单的上一页链接替换文字，如果空白会使用默认箭头图片"
"An error occurred while saving. Please review the error log.","保存的时候发生错误，请查看错误记录"
"Anchor Text for Next","下一页的锚点文字"
"Anchor Text for Previous","上一页的锚点文字"
"Anchor symbol (#) is not supported in request path","锚点符号（＃）不支持请求的路径"
"Anchor symbol (#) is not supported in url rewrite suffix","锚点符号（＃）不支持后缀替代网址"
"Are you sure?","您确认吗？"
"Auto-redirect to Base URL","自动引导到相应的网址"
"Back","返回"
"Backup Options","备份选项"
"Base JavaScript URL","基础 JavaScript 网址"
"Base Link URL","基础连结网址"
"Base Media URL","基础媒体网址"
"Base Secure URL","基础安全网址"
"Base Skin URL","基础外观网址"
"Base URL","基础网址"
"Base Unsecure URL","基础非安全网址"
"Before modifying the store view code please make sure that it is not used in index.php.","在编辑商店接口代码前，请确认没有在 index.php 中使用"
"Before modifying the website code please make sure that it is not used in index.php.","在编辑网站代码前，请确认没有在 index.php 中使用"
"Block with name ""%s"" already exists","区块""%s""已存在"
"Browser Capabilities Detection","浏览器功能侦测"
"CSS Settings","CSS 设定"
"Cache Storage Management","快取保存管理"
"Cache storage may contain additional data. Are you sure that you want flush it?","快取保存可以包含其他资料. 您确定更新?"
"Can not create invoice. Order was not found.","无法建立发票，找不到订单"
"Can't retrieve request object","无法取得请求的对象"
"Can\'t retrieve entity config: %s","无法取得实体设定： %s"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作"
"Card type does not match credit card number.","信用卡类型与信用数字不符"
"Code","代码"
"Controller file was loaded but class does not exist","控制档案已加载但类不存在"
"Cookie Domain","Cookie 域"
"Cookie Lifetime","Cookie 时效"
"Cookie Path","Cookie 路径"
"Cookie Restriction Mode","Cookie 限制模式"
"Copyright","版权"
"Core","核心"
"Countries Options","国家选项"
"Country","国家"
"Create Store","建立商店"
"Create Store View","建立商店接口"
"Create Website","建立网站"
"Credit card number does not match credit card type.","信用卡数字与信用卡类型不符"
"Current Package Name","目前软件包名称"
"Custom Admin Path","自定义管理接口路径"
"Custom Admin URL","自定义管理接口网址"
"Custom Design","自定义设计"
"Custom Email 1","自定义信件一"
"Custom Email 2","自定义信件二"
"Custom Variables","自定义变数"
"Custom1 Contact Email","自定义联络信箱 1"
"Custom1 Contact Name","自定义联络信箱名称 1"
"Custom2 Contact Email","自定义联络信箱 2"
"Custom2 Contact Name","自定义联络信箱名称 2"
"Customer Support","客户服务"
"Dashboard","控制面板"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","不支持日期/时间格式 ""%s"""
"Debug","除错"
"Default","预设"
"Default Country","预设国家"
"Default Description","预设描述"
"Default Keywords","默认关键词"
"Default No-route URL","预设找不到网页网址"
"Default Pages","预设页面"
"Default Robots","预设机器人"
"Default Store","预设商店"
"Default Store View","默认商店界面"
"Default Title","预设标题"
"Default Web URL","预设网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除%1$s不会删除与%1$s相关的信息（例如类别，产品等），但是%1$s被删除后无法恢复。建议删除%1$s之前先产生一个数据库备份"
"Design","设计"
"Design Change","接口设计"
"Developer","开发者"
"Developer Client Restrictions","开发者客户端限制"
"Disable Email Communications","停用电子信箱"
"Disable Modules Output","模块设定"
"Display Demo Store Notice","展示示范商店提示"
"Duplicate Of Template Name","样板名称重复"
"Edit Design Change","编辑接口设计"
"Edit Store","编辑商店"
"Edit Store View","编辑商店接口"
"Edit Website","编辑网站"
"Empty identifier field name","标识字符串名空白"
"Empty main table name","主数据表名空白"
"Enable Charts","开启统计图"
"Enabled","开启"
"Enabled for Admin","在管理接口中开启"
"Enabled for Frontend","在前台开启"
"Environment Update Time","环境更新时间"
"Error in file: ""%s"" - %s","档案：""%s"" - %s 错误"
"European Union Countries","欧盟国家"
"Exceptions Log File Name","异常记录文件名"
"Favicon Icon","书签最爱图标"
"File %s does not exist","档案%s不存在"
"File %s is not readable","档案%s无法读取"
"File not found","找不到档案"
"File system","文件系统"
"File with an extension ""%value%"" is protected and cannot be uploaded","与扩展""%值%的文件被保护，不能上传"""
"First Day of Week","周起始日"
"Flush Cache Storage","更新快取保存"
"Flush Magento Cache","更新Magento快取"
"Footer","页尾"
"Forgot Password Email Sender","忘记密码的信件寄件人"
"Forgot Password Email Template","忘记密码的信件样板"
"General","一般"
"General Contact","联络人"
"General Contact Email","一般联络信箱"
"General Contact Name","一般联络名称"
"General Settings","一般设定"
"Get info about current Magento installation","取得目前系统安装信息"
"Global","全站"
"HTML Head","HTML 页首"
"HTML tags are not allowed","不允许 HTML 标签"
"Header","页首"
"Host","主机"
"How many links to display at once.","一次显示多少链接"
"ID Path for Specified Store","指定商店的编号路径"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","如果木前页框位置无法包含最大页面，会产生链接到目前位置 加/减 这个数值"
"Incorrect credit card expiration date.","信用卡失效日期有误"
"Input type ""%value%"" not found in the input types list.","在清单里找不到输入类型 ""%value%"""
"Invalid URL '%value%'.","网址有误 '%value%'"
"Invalid base url type","基础网址类型错误"
"Invalid block name to set child %s: %s","设定 %s: %s 的区块名有误"
"Invalid block type: %s","区块类型有误：%s"
"Invalid block: %s","区块有误：%s"
"Invalid connection","联机错误"
"Invalid layout update handle","版面更新处理器有误"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始讯息的""%s""讯息保存有误"
"Invalid query","查询错误"
"Invalid transactional email code: %s","Invalid transactional email code: %s"
"Invalid website\'s configuration path: %s","网站设定路径有误：%s"
"JavaScript Settings","JavaScript 设定"
"Layout","版面"
"Leave empty for access from any location.","空白则允许从任何位置访问"
"List of stores","商店清单"
"Locale","语言"
"Locale Options","区域选项"
"Log Settings","记录选项"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","来自 Mage::log() 的记录。档案位于 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","来自 Mage::logException() 的记录。档案位于  {{base_dir}}/var/log"
"Login is Case Sensitive","登入区分大小写"
"Logo Image","Logo 图片"
"Logo Image Alt","Logo 替换文字"
"Logo Image Src","Logo 图片来源"
"Magento info","Magento 信息"
"Magento info API","Magento 信息 API"
"Mail Sending Settings","信件发送设定"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确认网址结尾包含斜线 '/' ，例如 http://yourdomain/magento/"
"Manage Stores","管理商店"
"Match expressions in the same order as displayed in the configuration.","以配置接口显示顺序样式比对"
"Media Storage","媒体保存"
"Merge CSS Files","合并CSS档案"
"Merge JavaScript Files","合并JavaScript档案"
"Miscellaneous HTML","自定义 HTML"
"Miscellaneous Scripts","各种程序"
"Model collection resource name is not defined.","型号组合资源名尚尚未定义"
"Module ""%1$s"" cannot depend on ""%2$s"".","模块""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s"".","模块""%1$s"" 依赖模块 ""%2$s"""
"Name","名称"
"New Design Change","新接口设计"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新网站"
"No","否"
"Offloader header","Offloader页首"
"PHP SOAP extension is required.","需要 PHP SOAP 外挂"
"Package","软件包"
"Pagination","分页"
"Pagination Frame","分页框架"
"Pagination Frame Skip","跳过分页框架"
"Parent directory does not exist: %s","父目录不存在：%s"
"Path ""%value%"" is not available and cannot be used.","路径 ""%value%"" 不存在所以无法使用"
"Path ""%value%"" is protected and cannot be used.","路径 ""%value%"" 受保护所以无法使用"
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","路径 ""%value%"" 可能不包含父目录遍历 (""../"", ""..\\)."""
"Please define flag code.","请定义标志代码"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入6个或更多字符，前后空格将被忽略"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","请输入7个或多个符号。密码应该包含数字和字母符号"
"Please enter a number 0 or greater in this field.","请在此栏输入 0 以上数字"
"Please enter a number 1 or greater in this field.","请在此输入一个 1 或更大的数字"
"Please enter a number greater than 0 in this field.","请在该栏输入 0 以上数字"
"Please enter a number lower than 100.","请输入小于100的数字"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额。例如，$100.00"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","请输入一个网址. 比如http://www.magentochina.org or www.magentochina.org"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址。例如 http://www.example.com 或 www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","请输入正确的网址。协议(http://, https:// or ftp://)"
