"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' 是一个 DNS 主机名，但是无法解析出 TLD 部份"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' 是一个 DNS 主机名，但是使用的 TLD 不在已知清单中"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' 是一个 DNS 主机名，但是无法符合 TLD '%tld%' 主机名架构"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' 是一个 DNS 主机名，但是有一个减号出现在错误的位置"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 是一个 DNS 主机名，但是提供的 punycode 符号无法解译"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 是一个本地网络，但是不接受本地网络名称"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 是一个 IP ，但是不接受 IP"
"'%value%' does not appear to be a valid local network name","'%value%' 不是一个正确的本地网络名称"
"* Required Fields","* 必填字段"
"ALL GROUPS","所有群组"
"Account Dashboard","首页"
"Account Information","帐户信息"
"Account Sharing Options","账号分享选项"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","账号确认是必要的。请检查您的确认连结的信件。重新发送确认信件请<a href=""%s"">点选这里</a>"
"Action","操作"
"Add New Address","新增地址"
"Add New Customer","新增客户"
"Add New Customer Group","新增客户群组"
"Added From","加自"
"Additional Address Entries","其他地址"
"Address","地址"
"Address Book","通讯簿"
"Address Books","通讯簿"
"Address Information","地址信息"
"Address Templates","地址样板"
"Addresses","地址"
"Admin","管理员"
"All","所有"
"All Store Views","所有商店接口"
"All countries","所有国家"
"Always optional.","一律选填"
"Amount","金额"
"An error occurred while deleting the address.","删除时发生错误的地址"
"An error occurred while retrieving the option value: %s.","检索时发生了一个错误的选择权价值：%s"
"An error occurred while saving the collection, aborting. Error: %s","保存时发生错误的收集，注销。错误：%s"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) 指定的选项 ID 错误，略过数据"
"Approved","已通过审核"
"Are you sure that you want to remove this item?","您确认要删除这个项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消新增该地址吗？"
"Are you sure you want to delete this address?","您确认要删除这个地址吗？"
"Are you sure?","您确定吗？"
"Array of Entity collections is expected.","需要实体组合的数组"
"Assign a Customer Group","指定客户群组"
"Average Sale","平均销售"
"Back","返回"
"Back - link to the previously viewed page","返回 -连结到以前浏览过的页面"
"Back to Login","返回登入"
"Bad request.","错误的请求"
