"Add","新增"
"Add New Row","新增行"
"Add links and samples to downloadable product","新增链接和下载产品样品"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","建议文件名使用字母，破折号和底线。不合适的字母用 \'_\' 代替"
"An error occurred while getting the requested content.","取得请求内容时发生错误"
"An error occurred while getting the requested content. Please contact the store owner.","取得请求内容时发生错误。 请联络商店所有者"
"An error occurred while saving the file(s).","保存档案时出错"
"Availability:","库存："
"Back","后退"
"Canceled","已取消"
"Cannot connect to remote host, error: %s.","无法链接远程主机，错误： %s"
"Catalog Product View (Downloadable)","目录产品查看 (可下载的)"
"Category API","类别 API"
"Customer My Account Downloadable Items","我的账号可下载的项目"
"Date","日期"
"Default Link Title","预设连结标题"
"Default Maximum Number of Downloads","预设最多下载次数"
"Default Sample Title","预设样品标题"
"Delete","删除"
"Disable Guest Checkout if Cart Contains Downloadable Items","购物车中有可下载产品时，停用访客结账"
"Downloadable Information","可下载信息"
"Downloadable Product","可下载产品"
"Downloadable Product Options","可下载产品选项"
"Downloadable Product Section","下载产品组"
"Edit","编辑"
"Edit item parameters","编辑项目参数"
"Excl. Tax","未税"
"File","档案"
"From:","从："
"Gift Message","礼物留言"
"Go to <a href=""%s"">My Downloadable Products</a>","转到 <a href=""%s"">我的可下载产品</a>"
"Guest checkout will only work with shareable.","访客结账仅与可分享一起开启"
"In stock","有库存"
"Incl. Tax","含税"
"Invalid download URL host.","下载 URL 主机有误"
"Invalid download URL scheme.","下载 URL 模式有误"
"Invalid download link type.","下载连结类型有误"
"Invoiced","发票"
"Links can be purchased separately","可购买单个连结"
"List","列表"
"Max. Downloads","最大下载"
"Message:","讯息："
"Move","移动"
"My Downloadable Products","可下载产品"
"Open Links in New Window","在新窗口中打开链接"
"Order #","订单 #"
"Order Item Status to Enable Downloads","开启下载的订单项状态"
"Order id cannot be null","订单编号不能为空"
"Order item id cannot be null","订购物品 id 不能为空"
"Ordered","已订购"
"Out of stock","缺货"
"Pending","待定"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","请登入来下载您订购的产品或是进行订购 <a href=""%s"">%s</a>"
"Please log in to download your product.","请登入下载您的产品"
"Please set resource file and link type.","请设定源档案和练级类型"
"Please specify product link(s).","请指定产品链接"
"Price","价格"
"Product downloadable links","产品下载链接"
"Qty","数量"
"Refunded","已退款"
"Remaining Downloads","保持下载"
"Remove","删除"
"Remove Item","删除产品"
"Remove links and samples from downloadable product","删除下载产品的链接及样品"
"Requested link does not exist.","请求的连结不存在"
"Retrieve links and samples list from downloadable product","获得链接和下载产品样本名单"
"Sample","样品"
"See price before order confirmation.","在订购确认前显示价格"
"Shareable","可分享"
"Shipped","已配送"
"Sorry, there was an error getting requested content. Please contact the store owner.","抱歉，取得内容时发生错误，请联络网站人员"
"Sort Order","排序"
"Start Download","开始下载"
"Status","状态"
"The file does not exist.","档案不存在"
"The link has expired.","连结已经过期"
"The link is not available.","连结无法使用"
"There are files that were selected but not uploaded yet. Please upload or remove them first","这些档案被选取但未上载。请先把它上载或移除"
"Title","标题"
"To:","到："
"U","U"
"Unlimited","无限"
"Use Content-Disposition","使用内容设定"
"Use Default Value","使用默认值"
"View Order","查看订单"
"What's this?","这是什么？"
"You have not purchased any downloadable products yet.","您还没采购任何可下载产品"
"attachment","附件"
"download","下载"
"inline","在线"
"sample","样品"
