"%s %s cycle.","%s %s 循环"
"--Please Select--","--请选择--"
"3D Secure Card Validation","3D安全卡验证"
"3D Secure Credit Card Validation","3D安全信用卡验证"
"<label>Make Check payable to:</label> %s","<label>支票收款人</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","实时模式需要一个值。请参考您与CardinalCommerce的协议"
"Allow Initial Fee Failure","允许初始费用失败"
"An internal reference ID is required to save the payment profile.","保存付款配置需要一个内部编号"
"Authorize action is not available.","认证操作不存在"
"Auto Bill on Next Cycle","在下一个周期自动请款"
"Automatically Invoice All Items","所有产品自动产生发票"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","自动把未清余额计入下一个账单周期(如果付款失败)"
"Bank Transfer Payment","银行转账"
"Billing Agreement status is not set.","未设定自动扣款状态"
"Billing Amount","账单金额"
"Billing Frequency","账单频率"
"Billing Period","账单间隔"
"Billing Period Unit","账单间隔单位"
"Billing period unit is not defined or wrong.","<账单间隔单位>尚尚未定义或者出错"
"Cannot retrieve the payment info model object.","无法取得付款信息模块对象"
"Cannot retrieve the payment information object instance.","无法取得付款信息对象实例"
"Cannot retrieve the payment method code.","无法取代付款方式代码"
"Cannot retrieve the payment method model object.","无法取得付款方式模块对象"
"Capture action is not available.","无法进行撷取操作"
"Card Verification Number","信用卡校验号"
"Cash On Delivery Payment","货到付款"
"Centinel API URL","API地址标识"
"Check / Money Order","支票/汇票"
"Credit Card Number","信用卡号码"
"Credit Card Type","信用卡类型"
"Credit Card Types","信用卡类型"
"Credit card number mismatch with credit card type.","信用卡号码与类型不符"
"Credit card type is not allowed for this payment method.","这个付款方式不接受这种信用卡"
"Currency","货币"
"Currency code is undefined.","货币代码尚尚未定义"
"Customer ID is not set.","客户编号尚尚未定义"
"Day","天"
"Debug Mode","除错模式"
"Enabled","开启"
"Expiration Date","有效日期"
"Full name of the person receiving the product or service paid for by the recurring payment.","定期扣款产品或服务的接收者的全名"
"Incorrect credit card expiration date.","信用卡到期日错误"
"Initial Fee","初始费用"
"Initial non-recurring payment amount due immediately upon profile creation.","建立项目的一次性初始付款额"
"Instructions","说明"
"Internal Reference ID","内部关联编号"
"Invalid Credit Card Number","信用卡号码错误"
"Issue Number","问题编号"
"Make Check Payable to","支票收款人"
"Make Check payable to:","支票收款人："
"Make Check payable to: %s","支票收款人：%s"
"Maximum Billing Cycles","最高请款周期"
"Maximum Order Total","最高订单金额"
"Maximum Payment Failures","付款失败最高次数"
"Maximum Trial Billing Cycles","试用循环最高次数"
"Merchant ID","发卡银行 ID"
"Minimum Order Total","最低订单金额"
"Month","月份"
"N/A","无法使用"
"Name on Card","持卡人姓名"
"Name on the Card","持卡人姓名"
"New Order Status","新订单状态"
"Number of billing periods that make up one billing cycle.","构成一个结算周期的计费周期数"
"Order action is not available.","无法使用订购操作"
"Overrides API URL that may be specified by a payment method.","忽略由付款方式指定的 API 网址"
"Password","密码"
"Payment Method","付款方式"
"Payment Methods","付款方式"
"Payment Methods Section","付款方式区"
"Payment Reference ID","付款参考编号"
"Payment Services","付款服务"
"Payment from Applicable Countries","可使用国家"
"Payment from Specific Countries","指定可使用国家"
"Payment method code is not set.","没有设定付款方式代码"
"Payment method code is undefined.","未定义付款方式代码"
"Payment profile is invalid:\n%s","付款配置错误：\n%s"
"Period frequency is wrong.","期间频率有误"
"Please enter a valid credit card verification number.","请输入正确的信用卡验证号码"
"Processor ID","处理编号"
"Purchase Order","采购单"
"Purchase Order Number","采购单编号"
"Purchase Order Number:","采购单编号："
"Purchase Order Number: %s","采购单编号： %s"
"Recurring Profile Start Date","周期性产品开始日期"
"Recurring profile start date has invalid format.","周期性产品开始日期格式有误"
"Reference ID is not set.","参考编号未设定"
"Refund action is not available.","退款操作不存在"
"Repeats %s time(s).","重复 %s 次"
"Repeats until suspended or canceled.","重复直到暂停或取消"
"Request Card Security Code","请求卡片安全码"
"Saved CC","保存信用卡号"
"Schedule Description","排程说明"
"Schedule description must be not empty.","排程说明不能空白"
"Selected payment type is not allowed for billing country.","选择的付款方式无法使用在付款国家"
"Send Check to","发送支票给"
"Send Check to:","发送支票给："
"Severe 3D Secure Card Validation","提供 Severe 3D 信用卡安全验证"
"Severe validation removes chargeback liability on merchant.","Severe 3D 信用卡安全验证可以解除商家退款责任"
"Shipping Amount","运费"
"Short description of the recurring payment. By default equals to the product name.","周期性付款的简介，默认使用产品名称"
"Sort Order","排序"
"Start Date","开始日期"
"Start date has invalid format.","开始日期格式错误"
"Start date is undefined.","没有定义开始日期"
"Subscriber Name","订阅人名称"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro 发卡编号"
"Switch/Solo/Maestro Only","只使用 Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro 开始日期"
"Tax Amount","税金"
"Test Mode","测试模式"
"The date when billing for the profile begins.","付款设定的开始日期"
"The number of billing cycles for payment period.","在付款期间的请款周期数量"
"The number of scheduled payments that can fail before the profile is automatically suspended.","排定付款在经过几次失败后自动将订阅暂停"
"The payment review action is unavailable.","付款审核操作不存在"
"The requested Payment Method is not available.","选择的付款方式无法使用"
"Title","标题"
"Trial Billing Amount","试用账单金额"
"Trial Billing Frequency","试用账单频率"
"Trial Billing Period Unit","试用账单周期单位"
"Trial Period","试用期间"
"Trial billing amount is wrong.","试用账单金额错误"
"Trial billing period unit is wrong.","试用账单周期单位错误"
"Trial period frequency is wrong.","试用期间频率错误"
"Trial period max cycles is wrong.","试用期间周期上限错误"
"Two Weeks","两周"
"Unable to save Billing Agreement:","无法保存付款同意书："
"Unit for billing during the subscription period.","订阅期间请款单位"
"Unsupported currency code: %s.","不支持的货币代码： %s"
"Void action is not available.","不接受退款"
"Week","周"
"What is this?","这是什么？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","在初始费用请款失败或加入到现有余额时是否暂停付款设定"
"Wrong %s specified.","指定了错误的 %s"
"Wrong or empty billing amount specified.","设定了错误或空的账单金额"
"Year","年"
"Zero Subtotal Checkout","无金额结账"
