"Abandoned Carts","被放弃的购物车"
"Abandoned carts","被放弃的购物车"
"Action","操作"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入待购清单"
"Any","任意"
"Applied Coupon","使用的优惠券"
"Applies to Any of the Specified Order Statuses","应用于任意指定订单状态"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","您确定要更新生存时间统计？这次操作可能影响性能"
"Are you sure?","您确定吗？"
"Avg. Approved Rating","平均审核评分"
"Avg. Rating","平均评分"
"Bestsellers","畅销产品"
"Bought from wishlists","从待购清单购买"
"CSV","CSV"
"Carts","购物车"
"Catalog Category (Without Subcategories)","目录类别（无子类）"
"Compared Products Grid Template","以表格模式比较产品"
"Compared Products List Template","以列表模式比较产品"
"Coupons","优惠券"
"Coupons Usage Report","优惠券使用报告"
"Created At","建立于"
"Current Month Starts","从哪月开始"
"Customer","客户"
"Customer Name","客户姓名"
"Customer Tags","客户标签"
"Customers","客户"
"Customers Report","客户报表"
"Customers Reviews","客户评论"
"Customers Tags","客户标签"
"Customers by Number of Orders","根据订单数排列的客户"
"Customers by Orders Total","根据订单总额排列的客户"
"Customers by number of orders","根据订单数排列的客户"
"Customers by orders total","根据订单总额排列的客户"
"Customers that have wishlist: %s%","有待购清单的客户：%s%"
"Dashboard","控制面板"
"Day","天"
"Default Recently Compared Products Count","默认「最近比较产品」显示数量"
"Default Recently Viewed Products Count","默认「最新查看产品」显示数量"
"Description","说明"
"Detail","内容"
"Downloads","下载"
"Email","电子信箱"
"Empty Rows","空行"
"Excel XML","Excel XML"
"Filter","过滤"
"First Name","名字"
"From","从"
"Guest","访客"
"Hits","点选"
"ID","编号"
"IP Address","IP地址"
"Index model name must be defined","必须定义索引模块"
"Invalid date specified.","指定日期有误"
"Invoiced","已出发票"
"Items in Cart","购物车中产品"
"Last Name","姓氏"
"Last Review","最后评论"
"Link","连结"
"List of Products Recently Compared and Removed from the Compare List by Visitor","近期访客在比较产品中比较过和删除过的的产品列表"
"List of Products Recently Viewed by Visitor","近期访客浏览过的产品列表"
"Low Stock","低库存"
"Low stock","低库存"
"Match Period To","符合期间从"
"Month","月"
"Most Viewed","查看次数最多"
"Name","姓名"
"New Accounts","新账号"
"No","否"
"Number Added","新增数"
"Number Fulfilled","使用数"
"Number Of Reviews","评论数量"
"Number Purchased","购买次数"
"Number Viewed","查看次数"
"Number of Items","产品数"
"Number of New Accounts","新账号数量"
"Number of Products to display","展示产品数量"
"Number of Reviews","评论数量"
"Number of Times Deleted","删除次数"
"Number of Total Tags","总标签数量"
"Number of Unique Tags","唯一标签数量"
"Number of Views","查看数量"
"Number of items bought from a wishlist: %s","通告待购列表购买的产品数量：%s"
"Number of times wishlists have been shared (emailed): %s","待购清单分享次数 (发信件)：%s"
"Number of wishlist conversions: %s","待购清单转换次数：%s"
"Number of wishlist referrals: %s","待购清单推荐次数：%s"
"Number of wishlists: %s","待购清单数量：%s"
"Order Status","订单状态"
"Order Taxes Report Grouped by Tax Rate","群组税率税款报表"
"Orders","订单"
"Out of stock","缺货"
"Period","时间段"
"Poducts Report","产品报表"
"Popular Tags","热门标签"
"Popularity","热门度"
"Price","价格"
"Product Name","产品名称"
"Product Reviews","产品评论"
"Product SKU","产品统一编号"
"Product Tags","产品卷标"
"Products","产品"
"Products Ordered","已订购产品"
"Products Report","产品报表"
"Products Reviews","产品评论"
"Products Tags","产品卷标"
"Products in carts","购物车中的产品"
"Purchases","购买"
"Quantity Ordered","下单的数量"
"Quantity of Items","产品的数量"
"Recently Compared","最近比较过的"
"Recently Compared Products","最近比较过的产品"
"Recently Viewed","最近查看过的"
"Recently Viewed Products","最近查看过的产品"
"Recently Viewed/Compared Products","最近查看/比较过的产品"
"Refresh Lifetime Statistics","重新整理寿命状态"
"Refresh Statistics","重新整理状态"
"Refresh Statistics for the Last Day","重新整理昨天的状态"
"Refunds","退款"
"Report","报告"
"Reports","报告"
"Results","结果"
"Revenue","收入"
"Review","评测"
"Reviews","评论"
"Reviews for %s","%s的评测"
"Sales","销售"
"Sales Report","销售报告"
"Search Query","搜索查询"
"Search Terms","搜寻关键词"
"Select day of the month.","选择每月的天数。"
"Shipping","运送"
"Shopping Cart","购物车"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","显示实际值"
"Show Report","显示报告"
"Show for Current","显示最新值"
"Specified","已指定"
"Statistics","状态"
"Stock Qty","库存数量"
"Submitted In","提交于"
"Submitted On","提交到"
"Subtotal","小计"
"Tag","标签"
"Tag ""%s"" details","标签 ""%s"" 详情"
"Tag Detail","标签详情"
"Tag Name","标签名称"
"Tag Use","标签的使用"
"Tags Submitted by %s","由%s 提交的标签"
"Tags submitted to %s","由%s 提交的标签"
"Tax","传真"
"Title","标题"
"To","发送至"
"Total","总数"
"Total Invoiced vs. Paid Report","发票总数 vs. 付款报告"
"Total Ordered Report","订单总数报告"
"Total Refunded Report","退款总数报告"
"Total Shipped Report","发货总数报告"
"Total Tags","标签总数"
"Total invoiced","发票总数"
"Total refunded","退款总数"
"Updated At","更新于"
"Viewed Products Grid Template","查看过的产品网格样板"
"Viewed Products List Template","查看的产品列表样板"
"Visible In","可见性"
"Wishlist Report","待购列表列表报告"
"Wishlist vs. Regular Order","待购列表列表 vs. 正常订单"
"Wishlists","待购列表列表"
"Year","年"
"Year-To-Date Starts","开始的年月日"
"Yes","是"
"Your Recently Compared","您最近的比较"
"Your Recently Viewed","您最近看过的"
"undefined","未定义"
