"# of Uses","使用次数"
"%s tag(s) have been accepted for moderation.","已经收到您建议的 %s 个标签，我们会尽快审核"
"<strong>Tag Name:</strong> %s","<strong>标签名字：</strong> %s"
"Action","操作"
"Add","新增"
"Add New Tag","新增标签"
"Add Tags","新增标签"
"Add Your Tags:","新增您的标签："
"Add tag(s) to product","为产品新增卷标"
"Add to Cart","加入购物车"
"Add to Wishlist","加入待购清单"
"All Tags","所有标签"
"Approved","已通过审核"
"Are you sure you want to delete this tag?","您确认要删除这个标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure?","您确认吗？"
"Back","返回"
"Back to Tags List","返回标签列表"
"Base Popularity","基本流行度"
"Block Information","区块信息"
"CSV","CSV"
"Catalog Product View","目录产品"
"Change status","编辑状态"
"Click on a tag to view your corresponding products.","点选卷标查看相应的产品。"
"Country","国家"
"Customer My Account My Tags List","客户 我的账号 我的标签"
"Customer My Account Tag View","客户 我的账号 标签"
"Customer Since","注册日期"
"Customers","客户"
"Customers Submitted this Tag","客户提交的标签"
"Customers Tagged '%s'","客户标签'%s'"
"Delete","删除"
"Delete Tag","删除标签"
"Disabled","停用"
"Edit Tag '%s'","编辑标签'%s'"
"Email","信件"
"First Name","名字"
"General Information","一般信息"
"Grid","表格"
"ID","编号"
"Info","资料"
"Last Name","姓氏"
"List","列表"
"Manage Tags","管理标签"
"My Recent Tags","我最近的标签"
"My Tags","标签"
"Name","名称"
"New Tag","新标签"
"No matches found.","没有符合的。"
"Other people marked this product with these tags:","其他客户对这个产品的卷标："
"Pending","待审"
"Pending Tags","待审标签"
"Popular","热门"
"Popular Tags","热门标签"
"Price","价格"
"Product Name","产品名称"
"Product SKU","产品统一编号"
"Product Tag API","产品卷标 API"
"Product Tags","产品卷标"
"Products","产品"
"Products Tagged by Administrators","管理员的产品卷标"
"Products Tagged by Customers","客户的产品卷标"
"Products Tagged with '%s'","标记为'%s'的产品"
"Products tagged with '%s'","标记为'%s'的产品"
"Rebuild Tag aggregation data","重建卷标聚合数据"
"Remove","删除"
"Remove product tag","删除产品卷标"
"Retrieve list of tags by product","检索按产品卷标列表"
"Retrieve product tag info","检索产品卷标数据"
"SKU","产品统一编号"
"Save Tag","保存标签"
"Save and Continue Edit","保存并继续编辑"
"Status","状态"
"Store View","商店界面"
"Tag","标签"
"Tag ""%s"" has already been added to the product.","已为指定产品增加卷标 ""%s"""
"Tag ""%s"" has been added to the product.","卷标""%s"" 已经加入到产品"
"Tag ""%s"" has been rejected by administrator.","标签 ""%s"" 被管理员拒绝"
"Tag Aggregation Data","卷标聚合数据"
"Tag Name","标签名称"
"Tagged Products List","卷标产品列表"
"Tags","标签"
"Tags List (All Available)","所有允许的标签列表"
"Tags List Before","之前的标签列表"
"Tags:","标签："
"Telephone","电话"
"The tag has been deleted.","该标签已经被删除"
"There are no tags available.","没有标签"
"Unable to find any products tagged with '%s' in the current store","本商店没有找到任何标记为'%s'的产品"
"Unable to remove tag. Please, try again later.","无法删除标签，请稍后再试。"
"Unable to save tag(s).","无法保存标签"
"Update","更新"
"Update product tag","更新产品卷标"
"Use spaces to separate tags. Use single quotes (') for phrases.","多个标签请使用空格分开，带有空白的词请使用单引号(')标示"
"View All Tags","查看所有标签"
"View Customers","查看客户"
"View Products","查看产品"
"XML","XML"
"You have not tagged any products yet.","您还没有标记任何产品。"
"ZIP/Post Code","邮政编码"
"[STORE VIEW]","[商店查看]"
