" was not delivered nor scanned","没有交货也未检查"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package"
"1 Day Freight","一日内送达"
"2 Day","2天"
"2 Day AM","2日时"
"2 Day Freight","两日内送达"
"2Day","两天"
"2nd Day Air","两日空运送达"
"2nd Day Air AM","两日空运上午送达"
"2nd Day Air AM Letter","两日空运上午送达信件"
"2nd Day Air Letter","两日空运送达信件"
"3 Day Freight","三日内送达"
"3 Day Select","三日内送达"
"Access ID","访问编号"
"Access License Number","访问许可号"
"Account ID","账号"
"Account Number","账号"
"Additional Protection Configuration Value","额外保护配置值"
"Additional Protection Enabled","开启额外保护"
"Additional Protection Min Subtotal","额外保护最低金额"
"Additional Protection Value","额外保护价格"
"Additional Protection Value Rounding Method","额外保护价格舍入法"
"Adult","成人"
"Adult Signature Required","成人签名要求"
"Allowed Methods","选填配送方式"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges"
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges"
"Break bulk economy","打破大宗经济"
"Break bulk express","打破大宗快递"
"Business Service Center","商务服务中心"
"Calculate Handling Fee","计算手续费"
"Canada Standard","加拿大标准"
"Cannot identify measure unit for %s","不能确定的度量单位为%s"
"Cannot identify weight unit for %s","无法确定重量单位为%s"
"Cannot retrieve shipping rates","无法取得运费费率"
"Centimeters","公分"
"Commercial","商业"
"Configuration","配置"
"Container","包装"
"Content Type","内容类型"
"Customer Packaging","客户包装"
"Customer Supplied Package","客户提供包裹"
"Customer services","客户服务"
"DHL","DHL"
"DHL (Deprecated)","外运敦豪（已过时）"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Debug","侦错"
"Default Package Height","预设包裹高度"
"Default Package Length","预设包裹长度"
"Default Package Width","预设包裹宽度"
"Delivered","已交货"
"Delivery Confirmation","发货确认"
"Depth","深度"
"Destination Type","目的地类型"
"Destination facility code is empty","目标设备代码是空的"
"Development","进展"
"Direct","直接"
"Displayed Error Message","出错时显示的内容"
"Divide Order Weight","除以订单重量"
"Documents","文件"
"Domestic Shipment Days","国内配送日"
"Domestic economy select","国内经济的选择"
"Domestic express","国内快递"
"Drop Box","收件匣"
"Dropoff","收货"
"Easy shop","EASY SHOP"
"Economy select","经济选择"
"Empty response","空回复"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled for Checkout","为付款开启"
"Enables/Disables SSL verification of Magento server by UPS.","开启/停用的SSL验证Magento服务器的UPS"
"Error #%s : %s","错误编号%s：%s"
"Error #%s : %s (%s)","错误号%s : %s (%s)"
"Error #%s: %s","错误号%s: %s"
"Europack","europack"
"Europe First Priority","欧洲第一优先"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","汇率%（基准货币） - >%s找不到。DHL方法%小号跳过"
"Express","快递"
"Express 10:30","快10:30"
"Express 10:30 AM","上午10:30 快递"
"Express 12:00","快12:00"
"Express 9:00","快9:00"
"Express Mail","快递信件"
"Express Saturday","周六快递"
"Express Saver","优捷快递"
"Express easy","快速方便"
"Express envelope","快递信封"
"Express worldwide","快递全球"
"Failed to parse xml document: %s","无法解析XML: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx10公斤快递箱"
"FedEx 25kg Box","FedEx25公斤快递箱"
"FedEx Box","FedEx快递盒"
"FedEx Envelope","FedEx快递封"
"FedEx Pak","FedEx快递袋"
"FedEx Tube","FedEx快递筒"
"First Overnight","次晨达"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","固定的"
"Flat-Rate Box","固定运费盒子"
"Flat-Rate Envelope","固定运费信封"
"Free Method","免运费方式"
"Free Shipping with Minimum Order Amount","免运费订单最小金额"
"Freight","送达"
"Freight worldwide","货运全球"
"Gateway URL","网关地址"
"Gateway XML URL","网关 XML URL"
"Gift","Gift"
"Girth","周长"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","globalmail业务"
"Ground","陆运"
"Ground Commercial","商务陆运"
"Ground Residential","住宅陆运"
"Handling Applied","手续费基础"
"Handling Fee","手续费"
"Height","高度"
"Height, width and length should be equal or greater than %s","高度，宽度和长度应等于或大于%s的"
"Home Delivery","国内配送"
"Hub ID","枢纽编号"
"Inches","英寸"
"Indirect","非直接"
"International Economy","国际经济"
"International Express","国际快递"
"International First","国际第一"
"International Ground","国际陆云"
"International Priority","国际快件"
"International Shipment Days","国际配送日"
"Intl Economy Freight","国际经济运输"
"Intl Priority Freight","国际优先运输"
"Jetline","JETLINE"
"Jumbo box","巨型框"
"Key","密钥"
"Kilograms","千克"
"Large","大件"
"Large Express Box","大型快递箱"
"Length","长度"
"Letter","信件"
"Library Mail","Library Mail"
"Live","动态"
"Machinable","计算机可读"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包裹重量（请咨询配送公司）"
"Media Mail","媒体信件"
"Medical express","医学快递"
"Medium Express Box","中等快递箱"
"Merchandise","Merchandise"
"Meter Number","仪表编号"
"Minimum Order Amount for Free Shipping","免运费的最低订单金额"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","最小包裹重量 (请向您的物流商了解所支援的最小配送重量)"
"Mode","模式"
"National Freight","全国达"
"Next Afternoon","隔日下午"
"Next Day Air","隔日空运送达"
"Next Day Air Early AM","隔日空运早上送达"
"Next Day Air Early AM Letter","隔日空运早上送达信件"
"Next Day Air Intra (Puerto Rico)","国内隔日空运送达 (波多黎各)"
"Next Day Air Letter","隔日空运送达信件"
"Next Day Air Saver","经济型隔日空运送达"
"Next Day Air Saver Letter","经济型隔日空运送达"
"No","否"
"No packages for request","无所请求的包裹"
"Non Documents","非文件"
"Non documents","非文件"
"Non-rectangular","非矩形"
"None","没有"
"Not Required","非必须"
"Order","订单"
"Order #%s","订单＃%s"
"Origin of the Shipment","配送地点"
"Origin serviceAreaCode is missing","缺少原产serviceAreaCode是"
"Other","Other"
"Others","他人"
"PAK","PAK"
"Package","包裹"
"Package Description","包裹说明"
"Package content is missing","缺少包内容"
"Packages Request Type","包请求类型"
"Packaging","包装"
"Pallet","托盘"
"Parcel","包裹"
"Parcel Post","邮包"
"Password","密码"
"Pickup Method","取货方式"
"Piece Id barcode is missing","缺少一块标识条形码"
"Piece number information is missing","件数信息丢失"
"Please make sure to use only digits here. No dashes are allowed.","只允许使用数字。不可以使用破折号"
"Please, specify origin country","请注明原产国"
"Pounds","磅"
"Priority Mail","快件"
