"%1$s has been updated in your wishlist.","%1$s 已经更新到待购清单"
"%d product(s) have been added to shopping cart: %s.","%d个产品已经加入到购物车: %s"
"%s for ""%s"".","%s for ""%s"""
"%s has been moved to wishlist %s","%s 已经移动到待购清单 %s"
"%s's Wishlist","%s的待购清单"
"* Required Fields","* 必填字段"
"Add All to Cart","全部加入购物车"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入待购清单"
"Added From","加入自"
"An error occurred while adding item to wishlist.","增加项目到待购列表时出错"
"An error occurred while adding item to wishlist: %s","增加项目到待购列表时出错： %s"
"An error occurred while deleting the item from wishlist.","从待购列表删除项目时出错"
"An error occurred while deleting the item from wishlist: %s","从待购列表删除项目时出错： %s"
"An error occurred while updating wishlist.","更新待购清单时发生错误"
"Are you sure you want to remove this product from your wishlist?","您确认要从待购列表中删除这个产品吗？"
"Are you sure you would like to remove this item from the wishlist?","您确认要从待购列表中删除这个产品吗？"
"Back","返回"
"Can\'t delete item from wishlist","无法从待购列表删除项目"
"Can\'t save description %s","无法保存说明%s"
"Can\'t update wishlist","无法更新待购清单"
"Cannot add item to shopping cart","无法加入到购物车"
"Cannot add the item to shopping cart.","无法增加该项目到购物车"
"Cannot configure product","无法设定产品"
"Cannot load wishlist item","无法加载待购列表项目"
"Cannot move item to wishlist","无法移动产品到待购列表"
"Cannot specify product.","无法指定产品"
"Cannot specify wishlist item.","无法指定待购列表项目"
"Cannot specify wishlist.","无法指定待购清单夹"
"Cannot update wishlist","无法更新待购清单夹"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果要新增到您的待购清单的RSS Feed的链接，请选择该区块。"
"Click for price","点这里看价格"
"Comment","备注"
"Comment:","评论:"
"Configure Wishlist Item","设定待购列表项目"
"Configured Price:","客制化价格："
"Could not find wishlist","不能找到的wishlist"
"Customer My Account My Wishlist","客户我的帐户我的待购列表列表"
"Customer My Account Wishlist Sharing Form","客户我的帐户待购列表列表分享窗体"
"Customer Shared Wishlist View","客户分享待购列表列表视图"
"Date Added","增加日期"
"Days in Wishlist","待购清单天数"
"Display Wishlist Summary","显示待购列表夹摘要"
"Edit","编辑"
"Email Sender","信件寄件人"
"Email Template","信件样板"
"Email address can\'t be empty.","信件地址不能空白"
"Email addresses, separated by commas","电子信箱，逗号分开"
"Enabled","开启待购清单"
"General Options","基本选项"
"Go to Wishlist","转到待购清单"
"Helper for wishlist options rendering doesn't implement required interface.","待购列表选项渲染帮助没有加载要求的接口"
"In stock","有货"
"Last Added Items","最近新增的产品"
"Message","内容"
"My Wishlist","待购清单"
"My Wishlist (%d item)","我的待购清单 (%d件产品)"
"My Wishlist (%d items)","我的待购清单 (%d件产品)"
"My Wishlist <small>(%d)</small>","我的待购清单 <small>(%d)</small>"
"My Wishlist Link","我的待购清单夹链接"
"Options Details","选项细节"
"Out of stock","缺货"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效的电子信箱，逗号分开。例如：johndoe@domain.com, johnsmith@domain.com"
"Please input a valid email address.","请输入正确的电子信箱"
"Please, enter your comments...","请输入您的说明 ..."
"Product","产品"
"Product Details and Comment","产品详细信息和评论"
"Product(s) %s have required options. Each of them can be added to cart separately only.","产品 %s 有要求的选项。 每个项目只能单独加入到待购清单夹"
"RSS Feed","RSS 订阅"
"RSS link to %s's wishlist","RSS 连结到%s的待购清单"
"Remove Item","删除产品"
"Remove This Item","删除这个产品"
"Remove item","删除产品"
"Requested cart item doesn't exist","要求车项目不存在"
"Requested wishlist doesn't exist","要求待购清单不存在"
"Share Options","分享选项"
"Share Wishlist","分享待购清单"
"Share Your Wishlist","分享您能的待购清单"
"Sharing Information","分享信息"
"This Wishlist has no Items","这个心愿没有项目"
"This product(s) is currently out of stock","这个产品缺货"
"Unable to add the following product(s) to shopping cart: %s.","下面产品无法加入到购物车： %s"
"Update Wishlist","更新待购清单"
"User Description","使用者描述"
"View Details","查看细节"
"View Product","查看产品"
"What's this?","这是什么？"
"Wishlist","待购清单"
"Wishlist Section","待购清单区"
"Wishlist Sharing","待购清单分享"
"Wishlist could not be created.","无法建立待购清单"
"Wishlist is empty now.","待购清单空白。"
"You have no items in your wishlist.","您的待购列表中没有产品。"
"Your Wishlist has been shared.","成功分享您的待购清单"
