" But cart has some errors."," But cart has some errors"
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","""描述""多于 %d 个字符长度"
"""Title"" is more than %d characters long","""标题""多于 %d 个字符长度"
"""id"" attribute is required for a ""%s"" field.","""id"" attribute is required for a ""%s"" field"
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" attribute is required for ""multiline"" element"
"""message"" attribute is required for ""%s"" validator rule.","""message"" attribute is required for ""%s"" validator rule"
"%1$s has been added to your wishlist.","%1$s 已经加入您的待购清单"
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.","%1$s 已经加入您的待购清单，点选 <a href="%2$s">这里</a> 继续购物"
"%1$s incl tax.","%1$s incl tax"
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s API 密钥必填"
"%s Application ID required.","%s 应用程序编号必填"
"%s Secret Key required.","%s 安全密钥必填"
"%s attribute is required.","%s 属性必填"
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s 已经加入购物车"
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含列表中不包括的国家。作为应用的所有者，您需要负责遵守在特定国家，包括您的祖国分发或销售您的应用程序时，该国的相关法律。）"
"* - field is required","* - field is required"
"*Subject to change","*如有变更"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","只展示型录的 App 不会提供像是加入购物车、加入待购列表或登入等功能"
"A new password has been sent.","A new password has been sent"
"About","About"
"Access forbidden","Access forbidden"
"Account","账户"
"Account Information","Account Information"
"Account Settings","Account Settings"
"Account confirmation is required. Please check your email for the confirmation link.","Account confirmation is required. Please check your email for the confirmation link"
"Account information has been saved.","帐户信息已经保存"
"Action","操作"
"Action type does\'t recognized","Action type does\'t recognized"
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Activate","开启"
"Activate PayPal Checkout","开启 PayPal 结账"
"Activate PayPal MECL","开启 PayPal MECL"
"Activation Key","开启密钥"
"Add","Add"
"Add Action","Add Action"
"Add Address from Contacts","Add Address from Contacts"
"Add App","增加 App"
"Add Custom","Add Custom"
"Add New Address","Add New Address"
"Add New Template","新增样板"
"Add Page","新增页面"
"Add To Wishlist","Add To Wishlist"
"Add a billing address","Add a billing address"
"Add a shipping address","Add a shipping address"
"Add to Cart","加入购物车"
"Add to Wishlist","新增到收藏"
"Adding Product to Cart...","Adding Product to Cart..."
"Adding Product to WishList...","Adding Product to WishList..."
"Additional Address","其他地址"
"Additional Info","Additional Info"
"Address","地址"
"Address 2","地址 2"
"Address Book","Address Book"
"Address Book Updated","Address Book Updated"
"Address Info","Address Info"
"Address book is empty","Address book is empty"
"Address data not specified.","Address data not specified"
"Address does not belong to this customer.","Address does not belong to this customer"
"Address has been deleted.","Address has been deleted"
"Address has been saved.","Address has been saved"
"Admin Application Settings","Admin Application Settings"
"Admin Mobile Application","Admin Mobile Application"
"Admin application has not been enabled","Admin application has not been enabled"
"Administrative contact for this app and for app submission issues.","Administrative contact for this app and for app submission issues"
"Advanced Settings","进阶设置"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret"
"AirMail Message Queue","航空邮件消息队列"
"AirMail Messages Queue","航空邮件消息队列"
"AirMail Template Preview","航空邮件样板预览"
"AirMail message","航空邮件消息"
"AirMail templates","航空邮件样板"
"All Allowed Countries","所有允许国家"
"All Images","All Images"
"All locations","所有位置"
"Amount","Amount"
"Amount in %@","Amount in %@"
"Amounts","Amounts"
"An account with this email address already exists.","An account with this email address already exists"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist"
"An error occurred while deleting the address.","An error occurred while deleting the address"
"An error occurred while loading categories.","An error occurred while loading categories"
"An error occurred while loading category filters.","An error occurred while loading category filters"
"An error occurred while loading configuration.","An error occurred while loading configuration."
"An error occurred while loading localization.","An error occurred while loading localization."
"An error occurred while loading login form.","An error occurred while loading login form."
"An error occurred while loading wishlist.","An error occurred while loading wishlist"
"An error occurred while processing your order. Please contact us or try again later.","An error occurred while processing your order. Please contact us or try again later"
"An error occurred while processing your request.","An error occurred while processing your request"
"An error occurred while removing item from wishlist.","An error occurred while removing item from wishlist"
"An error occurred while removing items from wishlist.","An error occurred while removing items from wishlist"
"Analytics","分析"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android doesn\'t support AirMail message type"
"App Background","App背景"
"App Background (landscape mode)","App Background (landscape mode)"
"App Background (landscape mode).","App Background (landscape mode)"
"App Background (portrait mode)","App Background (portrait mode)"
"App Background (portrait mode).","App Background (portrait mode)"
"App Background image missing.","App Background image missing"
"App Code","App代码"
"App Information","App信息"
"App Name","App名称"
"App Stores","App店铺"
"App Submission History","App提交历史"
"App Title","App标题"
"App code","App code"
"App code required.","App code required"
"App does not exist.","App does not exist"
"App has been deleted.","App has been deleted"
"App has been saved.","App has been saved"
